player_name,goals_scored,assists,passes_completed,tackles_won
Ola Gadsdon,18,5,1173,75
Terri Bruckenthal,1,13,308,96
Cammy Coslett,14,16,555,32
Smith Mattock,25,15,1180,13
Ganny Baudinot,8,2,1289,89
Anastassia Langcastle,21,14,1213,13
Neila Heggs,28,16,1149,25
Dunstan Lamden,30,7,1712,91
Jaime Espinoy,4,0,262,50
Cordula Swiffen,9,5,402,70
Rolland Thrush,1,19,1816,76
Caty Dorman,13,14,1643,71
Ulrika Small,19,2,185,68
Vergil Serman,28,8,1033,47
Max Gibby,20,10,1067,56
Wanids Jeppe,7,14,1065,35
Sawyere Bragg,10,0,1197,0
Sig Ripper,6,7,903,74
Veronique Hanhard,7,9,1750,88
Minor Rough,14,17,68,39
Leta Hebbs,28,12,1806,97
Betteann Pilmoor,8,4,866,94
Tania Carberry,18,1,1339,70
Ermanno Botham,20,15,304,65
Denyse Mattiazzo,14,5,1854,29
Golda Amaya,17,9,484,96
Moll O'Heaney,0,6,1874,73
June Kainz,4,12,1741,13
Chris Pedgrift,15,16,1266,0
Desmund Pieche,8,16,141,68
Ric Acland,6,0,805,22
Kimberlee Lavery,17,0,1066,23
Whitney Bullick,13,2,517,29
Tamarra McCaughran,17,11,1868,33
Dori McAlpine,21,1,1106,97
Judd McCormick,16,19,1755,74
Riobard Thorneley,28,2,242,61
Leeann Gricks,23,10,238,32
Buddy Gudge,3,20,140,62
Perla Di Dello,4,3,78,90
Sybilla Reading,0,12,1964,22
Jayme Dawidowitsch,3,13,1650,82
Jodie de la Valette Parisot,26,0,1801,56
Petronille Lewty,29,14,805,80
Sunshine Crombleholme,30,13,1288,71
Danna Lanahan,28,20,1160,99
Parke Chipps,27,6,1155,58
Otis Sibille,26,15,51,70
Mikkel Moutray Read,20,6,1457,99
Bliss Roscher,15,13,183,48
Bevan Boord,27,13,1841,96
Kingsly Greenstead,27,16,125,100
Odilia Lodwick,22,0,1328,58
Brittan Wearing,13,7,1027,27
Tait Milleton,28,18,641,53
Thornton Garth,10,13,1539,59
Arabela Mayman,30,10,1799,45
Arman Goodwyn,20,20,1672,69
Thedrick Paolicchi,22,8,1961,49
Fonzie Fullom,14,8,894,68
Lorne Herrero,20,15,107,73
Coral Etoile,13,14,608,38
Giralda Tessyman,5,9,1945,52
Nestor Faragan,24,10,149,79
Andria Walework,22,16,354,2
Rhianon Panchin,19,3,647,62
Gerrie Trahair,14,5,369,47
Hedvig Whelan,26,7,1414,78
Mariquilla Dani,3,10,423,6
Noni O'Gaven,24,20,68,38
Carlie Sturt,22,10,1480,2
Crawford McIlvaney,26,2,1680,74
Vassily Olennikov,16,15,349,38
Orson Schnitter,3,8,558,8
Elayne Sorbey,5,8,1136,45
Lazaro Francillo,19,14,392,84
Arther Forrington,15,10,1895,25
Wendye Goodbarne,26,3,1639,70
Ted Garrals,27,10,197,17
Bax Cockshtt,15,19,1778,10
Hyacinthia Marlen,13,8,1227,87
Dennis Bram,25,18,1467,17
Stanton Deneve,22,7,498,26
Florida McIlenna,20,0,1371,69
Danya Fryer,18,16,1121,39
Kellen Ebbin,25,8,912,44
Shauna Dyde,2,2,1630,56
Horatius Bellam,7,18,923,86
Terry Pickle,28,20,181,18
Win Klemmt,16,4,764,77
Collette Juleff,23,15,1845,77
Renault Flucker,22,5,571,89
Farrell Samways,16,17,233,92
Demetre Fullalove,22,13,138,53
Tresa Jerdein,25,16,578,9
Bartlet Brettor,29,3,1450,47
Jeannie Wethers,7,18,29,79
Barb Darrigrand,20,7,961,88
Lorri Walewicz,9,16,1054,44
Adrian Luckcock,20,1,1447,28
Bobbie Shercliff,2,13,616,73
Darby Samweyes,17,9,615,29
Freddie Steade,2,4,853,76
Jana Fitch,9,19,793,44
Tiff Ranyell,25,10,1537,75
Minne Hars,16,14,1964,50
Jacquetta Extall,12,6,1211,7
Powell Graith,28,8,515,67
Hobard Himsworth,6,1,303,46
Cosette D'Antuoni,7,18,1481,8
Brnaby Cordingly,9,11,1623,29
Madlin Masic,22,15,454,83
Nap Harbord,4,9,1898,76
Sara-ann Hammand,2,9,1199,85
Jorgan Kimbling,20,7,1305,29
Noellyn Morecomb,24,15,1335,27
Clem Lewzey,28,5,1479,15
Sheppard Mycock,19,5,348,84
Catharine Musselwhite,15,15,547,100
Seward Sertin,28,3,97,37
Ransom Baden,12,18,523,72
Rickie Meneely,26,9,1302,34
Doti Ferney,26,1,1567,53
Magdaia Brilleman,25,15,1971,93
Maximilianus Gonzalez,8,20,905,90
Amandy Taylot,25,13,692,12
Krystle Pidgeley,6,17,304,88
Sibyl Chestnut,29,10,1069,31
Ferdy Bazelle,4,10,1391,68
Laurena Arminger,14,2,1019,13
Burch Hann,20,19,1958,50
Natalee Maidlow,14,13,783,89
Haywood Banghe,22,19,1238,71
Glenden Brewis,28,1,1975,99
Grace Fell,28,19,966,97
Kinny Torel,30,3,916,15
Agustin Ehlerding,18,12,1898,35
See McPhee,19,18,1536,84
Burl Enderle,3,13,58,27
Patrica Hritzko,10,13,1068,31
Herminia Warrier,28,9,1727,48
Cherrita Twell,3,6,79,53
Waldo Langmaid,21,20,1180,35
Priscilla Lansbury,2,14,715,16
Heall Buckerfield,28,6,975,65
Dorrie Batistelli,2,11,1355,7
Ford Juckes,15,12,916,2
Petronilla Blaw,25,16,177,25
Wain McGillivray,3,19,328,55
Buckie Vines,24,13,503,19
Flynn Heliar,7,15,308,6
Theodosia Domniney,12,19,1516,0
Boote Pottinger,30,13,718,38
Janette Mate,5,7,464,42
Christophe Fish,13,0,352,69
Ignace Gavozzi,28,16,392,28
Faydra Oxtoby,19,7,1443,19
Herold Skyrme,30,1,114,82
Barde Wernher,4,19,922,7
Babb Lawerence,16,15,608,57
Sol Murrill,13,10,1586,60
Allister Petrasso,20,4,635,12
Penelopa Gilbert,20,0,1553,38
Corabella Redhills,23,16,1010,75
Antonietta Aldrich,10,12,446,53
Raye Conklin,3,4,226,99
Berkie Durkin,10,1,664,52
Lacey Lundbeck,11,13,1381,94
Frederick Knill,23,20,769,21
Morgen McDermid,12,11,75,55
Demetrius Quinnelly,29,20,444,88
Lonnie Hover,26,4,1750,37
Page Cotillard,4,9,1027,30
Austina Swanborough,2,19,529,30
Nikita Ibert,22,0,1502,12
Lesley Moscon,14,7,339,56
Briano Asplin,4,18,815,21
Delora Yallop,21,18,1776,89
Tobie Perello,23,18,1128,97
Jada Noblet,18,18,457,27
Tully Gibbon,25,10,623,25
Pincas Edelston,19,4,829,63
Gretta Lutwidge,20,6,1119,10
Eugenio Bernardon,24,11,1627,96
Marilyn Dayly,16,15,1612,59
Stearn Manoch,23,3,96,59
Shelton MacGilrewy,15,7,1848,54
Daphna Grotty,17,5,150,62
Karlis Marsay,27,7,1880,63
Ilyssa Dodge,21,17,1428,76
Lorain Ozelton,10,5,1049,44
Stefa Potier,21,4,115,77
Xena Loughton,12,2,548,53
Christan Marquez,1,20,1689,16
Jervis Bradnocke,13,5,1439,11
Cart Dickie,30,6,1231,83
Ursola Tante,16,16,976,21
Shandie Cherrett,5,16,1500,58
Marlow Cleverly,12,14,662,24
Lynelle Pree,3,20,207,13
Gustav Liebrecht,15,6,1514,28
Tallie MacGuffie,16,0,746,56
Vick Tollerton,4,0,845,28
Perceval Glanvill,28,2,1451,97
Halsy McCart,26,7,180,55
Dani Ball,1,0,1266,56
Adda O'Heyne,23,5,262,38
Eolanda Pettiford,20,18,34,33
Terri Lockhead,22,6,891,25
Mureil Barnbrook,18,3,1695,35
Agnola Asprey,14,2,1075,55
Prue Rochford,6,3,453,62
Duffie Eirwin,3,0,589,48
Gustie Cowern,20,14,1083,62
Mariana Skettles,13,17,1682,84
Ernesto Goman,8,19,823,59
Virgie Pachmann,18,7,1212,9
Nollie Snoxall,17,2,259,88
Crin Mastrantone,21,10,1262,41
Myrtle Eves,27,16,440,75
Larine Kofax,18,10,1026,5
Karney Cullinan,8,3,403,82
Hermon Donaldson,23,14,1871,65
Torin Puckring,15,7,618,56
Karrah Ducarne,9,8,262,68
Tobe Morgans,6,1,1629,88
Bellina Mioni,30,10,1818,93
Madella Jeandin,17,20,832,45
Horton Slowan,10,4,127,21
Trixie Poley,9,0,801,69
Alan Libbie,30,9,1156,92
Teodorico Higounet,6,2,107,31
Brinn Oakton,20,16,1932,1
Shoshana Lorie,24,10,560,89
Malina Barrabeale,22,9,1594,95
Micheil Clace,2,5,312,45
Monica Cawsby,24,6,974,55
Peyton Pettecrew,25,15,1431,13
Uriel Derwin,12,15,663,68
Ingeborg Girdler,4,4,638,100
Billie Filipic,24,2,442,10
Marylou Lesper,19,8,997,71
Dael Grovier,15,19,1168,1
Bernetta Cerith,22,20,289,0
Suki Le Noury,26,2,1587,78
Orelie Dellenbrok,16,9,737,95
Marti Hallworth,25,7,493,5
Creigh Crane,0,10,1710,79
Irving Kibby,2,0,1626,92
Charmian Muscat,22,17,943,97
Noby Van Vuuren,3,16,1166,7
Charin Alberti,9,5,1281,40
Florencia Solley,24,4,596,15
Carlee Tilney,16,9,703,56
Mathe Vaggers,10,14,1841,37
Bald Hawsby,21,13,815,22
Osbert Keywood,20,11,1668,10
Marion Rittmeyer,22,6,973,35
Charil Whacket,11,2,1306,40
Leonore Spong,17,14,189,68
Carmella Berrycloth,8,0,1951,48
Tobye McIlveen,29,1,638,73
Gustavus Badini,8,13,1785,1
Marga Rollings,20,15,1437,85
Alexi Penhall,15,16,1680,52
Alfy Stother,16,4,1926,10
Junina Backhurst,3,2,1086,29
Myrilla MacMorland,11,4,897,67
Deena Wilmington,4,10,1231,5
Conny O'Farris,22,16,1585,99
Auguste McPake,3,5,1121,74
Baryram Deegin,22,15,360,17
Adham Ryhorovich,13,3,599,24
Jayme Le - Count,27,1,383,22
Pietrek Cockshott,18,18,1662,7
Morganica Storm,2,7,1828,7
Culver Fice,12,13,952,61
Xever Biscomb,20,4,1441,73
Sol Luciano,15,4,348,61
Helenka Beuscher,27,0,1745,27
Farrand Jandak,23,19,729,59
Eliza Cheshir,23,20,160,46
Brittani Lamboll,28,15,517,86
Griz Lanchester,24,5,456,65
Beilul Brew,12,7,1747,70
Rosa Lenahan,18,7,702,39
Teodorico Castelijn,26,2,894,18
Edin Reilingen,21,2,979,46
Petr Ackenson,28,19,1270,24
Lemuel Maile,5,19,683,89
Tadeo Russ,2,15,1788,52
Eustace Crudginton,24,16,357,93
Eduardo Crab,7,8,136,68
Marion Campsall,28,5,90,12
Mina Sanpher,1,1,773,92
Lida McHale,4,11,556,30
Gavra Enrigo,29,17,1236,71
Gael Blowin,27,7,1070,11
Adela Pointin,12,9,69,48
Mandy Pawsey,21,8,409,60
Giles Batchelar,23,12,210,59
Wynn Fernez,15,10,1397,22
Rora Goodridge,3,6,1528,1
Burtie Brearty,23,10,733,53
Tory Purkiss,28,18,1934,12
Rori Mattek,8,3,1272,37
Horatia Acreman,10,8,1685,17
Emanuel Ruit,15,14,121,41
Thorpe Barling,14,18,415,92
Fair Hackinge,5,16,1925,37
Carleton Tire,19,12,1735,35
Juieta Blazy,13,20,737,73
Daniele Lord,15,6,56,46
Farra Jacqueminot,8,2,1811,40
Enrica Hanster,21,13,195,43
Emlyn Boneham,26,16,1525,59
Robin Danilchenko,28,3,1002,40
Ninnetta Bartrap,23,9,262,48
Nora Teideman,5,13,657,25
Harlie Rutledge,0,3,1885,45
Hobie Ingilson,17,10,1119,45
Manon Rozsa,17,18,1092,73
Bernelle Abramamov,29,8,897,86
Alverta Domoney,20,3,1300,37
Aurea Gouch,10,12,1269,33
Darrin Creavin,13,17,342,99
Greta Silverson,11,7,86,79
Hermy Rickarsey,5,3,1760,77
Silva Renyard,13,15,1263,10
Nikolas Siman,27,3,125,42
Katya Anton,9,10,1281,98
Clair Gierth,6,4,806,15
Kyla Bauckham,20,3,1778,77
Neala Rundle,30,5,76,82
Myca Tomenson,15,7,1689,88
Wrennie Birkmyre,4,11,86,20
Kathe Dikle,3,20,241,17
Udall Wrefford,13,13,466,54
Ewen Leban,13,20,1553,9
Karina Chatres,27,18,1746,81
Noel McNirlan,24,8,780,42
Estella Dimitrijevic,16,8,288,3
Karim Poag,25,5,384,89
Arlee Maruszewski,12,19,135,3
Allayne Frangleton,17,20,1786,99
Gillan Parkman,18,13,756,17
Berke Palatino,29,13,1496,16
Jory Switland,30,14,878,91
August Klimschak,14,12,47,67
Jerry Thorowgood,26,18,484,88
Janelle Goodyer,19,3,98,79
Finley Currier,1,16,1658,67
Nadiya Trank,0,13,1800,70
Suellen Yerson,27,16,1532,27
Charity Harg,1,9,490,76
Hana Durham,24,13,322,40
Becka Blaylock,7,20,367,10
Orelee Bootton,11,4,179,89
Ronny Sawney,15,7,35,61
Sigismundo Bircher,16,8,1603,28
Schuyler Pasquale,18,12,1867,57
Bernelle Plimmer,28,4,1348,2
Corella Newey,11,17,1865,1
Ashly Stimson,27,3,105,37
Ethelin O'Toole,5,4,658,86
Ronda Stovine,16,4,276,99
Doyle Lilliman,14,7,739,35
Sunshine Rowntree,18,6,601,20
Ugo Petrushanko,27,7,1942,48
Mignonne Lokier,4,10,1124,13
Cyndy Baish,21,8,1662,67
Lisbeth Grabb,12,19,1450,93
Rafaela Devons,6,9,1489,99
Bili Blune,4,8,204,3
Casey Pole,15,16,1510,10
Calv Pearcey,25,15,958,67
Arleyne Jaime,11,6,593,78
Gertrud Gulvin,9,13,216,33
Rosalyn McLelland,14,9,598,73
Marnie Towler,18,1,908,55
Kirstyn Haskew,25,20,458,82
Elmore Kilbride,28,17,121,48
Oberon Knapton,26,17,400,38
Donni McCrainor,23,10,293,83
Bev Slowey,30,5,1427,64
Lotte Melato,8,13,1759,12
Vern Loddy,19,6,653,16
Karoline Boulger,1,9,1201,33
Jarrett Found,11,13,1740,28
Barrie Hallawell,7,2,1838,13
Field Dowse,0,17,932,70
Giacobo Gulleford,4,8,1749,6
Rochelle Wrefford,2,17,141,3
Marylynne Bollin,25,18,823,75
Wright Rennocks,22,5,1920,97
Kahlil Petrolli,27,2,1505,71
Gabby Froment,28,3,490,92
Etti Sheahan,26,0,156,9
Lorry Baldoni,26,15,1897,80
Joshua Allso,19,3,1108,39
Amabelle Mowat,3,4,1808,1
Imogene Barnewelle,11,14,1634,76
Felecia Burburough,8,11,785,28
Ynez Shilliday,24,4,1355,23
Reade Ponter,11,4,145,22
Darby Cogdell,6,10,529,12
Elijah Buckthorp,27,19,1310,38
Norby Conquest,19,19,1619,49
Sacha Chellingworth,3,1,272,26
Bar Crich,26,9,1076,11
Berny Muncer,9,16,517,33
Theo Danilchev,22,8,1539,58
Kay Wythill,14,13,954,73
Legra Gilardengo,27,7,1314,22
Wilone Grabban,12,20,1794,1
Desiree Poletto,5,14,1343,23
Lorette Burgoyne,13,20,765,83
Valentina Copo,21,7,1072,61
Nissa Seilmann,10,19,1734,31
Friedrick Craw,29,3,929,17
Deanna Southerton,24,19,196,17
Bessie Ashborne,13,6,743,19
Alessandro Sones,20,4,711,98
Priscilla Kyllford,25,15,10,77
Oby Roberto,16,19,577,92
Borg Billinge,5,13,338,92
Cy Eastbrook,19,18,1915,68
Laurice Epton,1,18,1732,27
Goddard Creevy,29,12,1186,34
Wrennie Kibblewhite,22,18,1540,47
Fancy Brislane,27,15,288,80
Madelin Gebuhr,15,4,1825,47
Winny Jedrzejewicz,22,7,946,21
Clement Rutter,21,13,1101,9
Agneta Al Hirsi,1,0,448,88
Kelley Woolgar,1,8,1524,90
Kelsy Fenners,11,0,536,6
Tandy Jamieson,0,18,1654,65
Devan Nund,10,16,305,7
Deeanne Laddle,21,13,546,3
Keely Bumphries,6,17,1081,37
Jereme Prater,3,2,1681,42
Ingaborg Burston,8,10,477,25
Aldo Sparhawk,27,18,1504,6
Malvina Currington,14,13,594,77
Keriann Tarbath,4,7,363,67
Karissa Bernucci,1,7,415,13
Gabriellia Noor,4,16,1499,85
Karisa Trembley,5,7,1859,83
Tomasina Jerams,5,13,181,13
Cheri Goodlip,9,8,216,26
Reece Reece,18,1,411,26
Wylie Trow,13,15,1925,100
Bondon Cristoforo,10,20,301,96
Heindrick Jacobsen,4,15,1994,8
Jillene Stride,24,13,731,26
Moria Preator,24,4,950,71
Sashenka Boydle,14,2,505,82
Courtnay Scramage,30,15,515,57
Zora Teese,1,3,919,11
Damiano Iorio,19,20,995,16
Ermin Vousden,12,9,1573,78
Essa Flancinbaum,2,3,8,13
Jeramie Kacheler,13,6,320,69
Randene Felmingham,22,1,1547,46
Aloise Barnett,30,7,1019,41
Tiffy Kuhlen,5,6,1674,81
Frazier Dive,10,2,1290,98
Harmon Mowsley,23,0,1567,74
Garrard Minghi,28,12,1437,41
Hana Shelf,2,0,1501,17
Whit Kynforth,2,20,38,95
Max Brennand,30,1,1651,23
Niel O'Hegertie,27,11,1324,22
Fran Rawsthorne,30,16,1551,54
Delaney Francesconi,18,17,1904,24
Yoshiko Tasker,2,14,984,48
Care Delafont,19,13,158,99
Lorin Craise,5,0,85,92
Demetrius Prose,10,13,384,74
Mikaela Hodgets,30,20,821,43
Dulcie Demcak,16,12,1568,86
Kirsti Colliver,11,18,1191,67
Kaycee Haywood,17,6,1411,31
Obie Hutley,27,18,1415,35
Cindelyn Ogley,4,1,1973,30
Alphonso Kenderdine,2,13,1882,60
Pepe Simmance,15,7,1207,44
Frants Bennike,28,0,1178,50
Hetti Chalke,15,3,1983,51
Obediah Eddisforth,25,6,1922,64
Sosanna Waliszek,10,14,159,50
Deanne Ten Broek,27,3,1016,98
Chico Trengrouse,1,12,1200,9
Denice Pallin,2,19,1786,63
Stanly MacGinney,9,13,134,5
Niko Romanet,13,15,1588,17
Danny Baybutt,21,4,1051,30
Angelique Joel,6,3,1602,46
Cynthia Dimmer,20,7,1999,89
Susannah Larvent,5,13,850,17
Scott Vanichev,15,3,355,91
Domingo Searl,22,6,393,4
Ilene Calafato,7,15,1126,34
Jamie Bortolussi,27,3,1744,50
Paco Huard,16,17,852,48
Ronny McIlveen,9,7,414,89
Felicio MacAvddy,2,5,561,27
Atlante Schimek,18,1,287,41
Marcy Forshaw,3,1,810,42
Cthrine Huntly,25,1,1180,88
Thain Tunnock,6,13,1902,21
De witt Draaisma,15,7,1149,56
Benedikt Amies,16,14,163,71
Ruth Trewhella,1,16,526,56
Falkner Spenley,20,2,354,28
Nanon Minors,22,16,408,47
Celle Duddan,9,15,1607,35
Kenon Coopey,15,4,1157,78
Cristobal Chezelle,24,5,508,72
Puff Niblo,8,10,231,37
Ashby Gilvary,1,11,538,24
Fancy Newbury,0,11,1184,76
Petr Maccaddie,3,18,388,59
Nariko Brokenbrow,19,1,472,26
Tamarra Dennes,15,15,1639,20
Byrann Seczyk,7,19,1304,86
Christoper Boneham,7,15,191,35
Dolli Churm,23,13,728,17
Dosi McAline,19,4,1512,73
Clem Bariball,23,13,1351,53
Mallory Hankins,25,14,610,24
Olimpia Carnaman,4,6,114,77
Gram Gimbart,11,0,1037,74
Jeremie Kenright,8,2,6,88
Auguste Drogan,13,10,618,78
Moyna Rase,29,20,129,49
Thomasine De la croix,17,19,763,28
Tad Pryce,29,9,1732,49
Astrix Drowsfield,20,10,1069,12
La verne Pucker,17,16,378,61
Cullin Wilce,18,14,536,10
Bartlet Canty,2,19,639,56
Jacquelin Spores,26,16,1165,13
Cullin Soles,13,10,172,81
Audry Fritschmann,9,10,1965,68
Fifine Tosh,3,1,277,2
Munroe Penkethman,30,17,1793,51
Genovera Brumfitt,7,5,1144,94
Vi Pipping,1,6,1487,97
Giffard Jovanovic,5,7,57,58
Ardis Berzons,29,18,764,45
Belicia Earie,5,19,399,6
Creighton Linke,7,10,1605,93
Angelo Isham,20,12,205,99
Griswold Hanaford,27,17,362,9
Boone Prati,29,8,386,22
Englebert Cappleman,14,0,1674,63
Julius Rush,5,19,1560,26
Blythe Hise,3,1,1116,94
Arman Bice,27,4,401,12
Avie Trenfield,2,15,458,65
Barr Rubinlicht,28,9,1490,51
Thebault McArthur,25,6,477,46
Alix Mc Meekan,10,0,996,7
Arabele Werner,24,3,151,17
Townsend Guiducci,5,14,443,1
Roley Chatell,4,0,1239,46
Arch Durante,0,7,1064,84
Fawn Silkstone,4,9,580,43
Artie Mundy,7,15,1956,49
Weston Yepiskopov,20,10,1856,63
Lucretia Taffarello,15,1,785,97
Alexandre Snowling,5,10,1085,78
Artur Buffham,23,16,15,61
Noby Mulhill,2,6,833,75
Hewitt Jakubiak,20,4,142,4
Kelly Fogden,13,12,1615,57
Delila O'Geneay,8,7,1325,59
Cynthia Bone,10,3,1058,3
Gavra Queenborough,7,17,65,22
Kiley Cannam,7,16,1936,45
Thorvald Evert,5,7,1886,44
Pernell Tomaskov,25,16,1294,79
Ali Cameli,0,15,1822,58
Floria Scholer,12,3,531,12
Bernardo Gawler,4,5,955,0
Garold Tabbernor,10,16,418,24
Lynne Wildman,10,5,481,98
Merry Minghi,10,1,1218,38
Jorgan Learmount,20,12,313,6
Tersina Rucklesse,3,12,1473,56
Cam Stollman,0,17,1843,40
Ivette Cushworth,29,6,724,43
Xavier Adanez,27,13,1353,61
Laryssa Bulfoot,27,11,327,1
Violetta Piddick,5,20,42,40
Harriette Comben,12,5,77,70
Ethelbert Lisciardelli,22,17,1251,91
Brenda Shuttleworth,22,17,230,8
Dewain Pinch,30,15,1691,82
Kristin O'Kane,19,4,362,59
Estevan Henryson,29,10,27,21
Nertie Larrosa,15,4,1419,47
Rahel Longfut,7,14,1872,40
Kacey O'Scanlan,21,10,1396,31
Bernie Sayers,10,3,1930,78
Dyann Cranstoun,1,7,1514,48
Dalt Hegel,8,9,63,31
Marlene Beckmann,2,0,1446,0
Allayne Petrozzi,30,2,630,37
Loria Colrein,14,13,154,38
Phelia Gagg,5,1,1685,22
Cindra Osgerby,8,5,1147,9
Germain Hacquel,0,3,1893,60
Joell Hackwell,10,9,842,74
Ellwood Gladding,7,1,1784,18
Jeth Hufton,2,8,74,82
Alvin Schachter,13,19,1510,85
Gavra Joust,30,0,1368,76
Kile Gagin,7,6,1889,27
Arda Jurisic,20,5,979,77
Barbette Enticott,26,7,117,73
Sarene Fletham,29,18,685,47
Meyer Scutcheon,1,4,1961,6
